nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,code_sondage,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
0,0,1,1,1,2,Infra & Cloud,Y,Occasionnel,0,5
1,3,1,2,8,1,Infra & Cloud,Y,Frequent,1,7
0,3,1,4,2,2,Autre,Y,Occasionnel,0,0
0,3,1,5,3,4,Infra & Cloud,Y,Frequent,3,0
1,3,1,7,2,1,Transformation Digitale,Y,Occasionnel,2,2
0,2,1,8,2,2,Infra & Cloud,Y,Frequent,3,6
3,3,1,10,3,3,Transformation Digitale,Y,Occasionnel,0,0
1,2,1,11,24,1,Infra & Cloud,Y,Occasionnel,0,0
0,2,1,12,23,3,Infra & Cloud,Y,Frequent,1,8
2,3,1,13,27,3,Transformation Digitale,Y,Occasionnel,7,7
1,5,1,14,16,3,Transformation Digitale,Y,Occasionnel,0,3
0,3,1,15,15,2,Infra & Cloud,Y,Occasionnel,0,8
1,1,1,16,26,1,Infra & Cloud,Y,Occasionnel,4,3
1,2,1,18,19,2,Transformation Digitale,Y,Occasionnel,1,2
0,4,1,19,24,3,Infra & Cloud,Y,Occasionnel,0,3
1,1,1,20,21,4,Infra & Cloud,Y,Occasionnel,8,8
2,5,1,21,5,2,Infra & Cloud,Y,Occasionnel,0,5
2,2,1,22,16,2,Transformation Digitale,Y,Aucun,0,0
0,3,1,23,2,4,Infra & Cloud,Y,Occasionnel,3,7
0,3,1,24,2,3,Infra & Cloud,Y,Occasionnel,1,2
1,5,1,26,11,2,Autre,Y,Aucun,1,3
0,4,1,27,9,4,Infra & Cloud,Y,Occasionnel,0,3
0,4,1,28,7,4,Infra & Cloud,Y,Occasionnel,2,11
0,6,1,30,15,2,Infra & Cloud,Y,Occasionnel,0,0
0,2,1,31,6,1,Transformation Digitale,Y,Occasionnel,1,3
1,3,1,32,5,3,Autre,Y,Occasionnel,4,8
0,5,1,33,16,1,Infra & Cloud,Y,Frequent,6,7
1,2,1,35,8,4,Marketing,Y,Occasionnel,4,2
1,4,1,36,7,4,Transformation Digitale,Y,Occasionnel,5,17
0,2,1,38,2,4,Marketing,Y,Occasionnel,2,1
0,3,1,39,2,3,Transformation Digitale,Y,Occasionnel,0,0
0,5,1,40,10,4,Autre,Y,Occasionnel,1,3
0,5,1,41,9,2,Transformation Digitale,Y,Occasionnel,1,8
1,6,1,42,5,3,Entrepreunariat,Y,Occasionnel,0,0
1,2,1,45,1,3,Transformation Digitale,Y,Occasionnel,2,0
2,3,1,46,2,2,Transformation Digitale,Y,Occasionnel,1,4
0,2,1,47,3,2,Marketing,Y,Occasionnel,0,2
