id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heures_supplementaires,augmentation_salaire_precedente,augementation_salaire_precedente,nombre_heures_travailless,improvement_evaluation,total_satisfaction,work_mobility,user_id,date_ingestion
99999,35,M,6000.0,Marié,R&D,Développeur,2,10,5.0,3.0,1,2,0,15,3,Informatique,Oui,Rarement,2,2,3.0,3.0,2.0,4.0,3.0,3.0,4.0,,,7 %,150.0,,,,demo1,2025-12-05 18:46:37.432181+00:00
99004,35,M,6000.0,Marié,R&D,Développeur,2,10,5.0,3.0,1,2,0,15,3,Informatique,Oui,Rarement,2,2,3.0,3.0,2.0,4.0,3.0,3.0,4.0,,,7 %,150.0,,,,demo1,2025-12-05 18:46:34.326639+00:00
99003,35,M,6000.0,Marié,R&D,Développeur,2,10,5.0,3.0,1,2,0,15,3,Informatique,Oui,Rarement,2,2,3.0,3.0,2.0,4.0,3.0,3.0,4.0,,,7 %,150.0,,,,demo1,2025-12-05 18:46:35.928093+00:00
99002,35,M,6000.0,Marié,R&D,Développeur,2,10,5.0,3.0,1,2,0,15,3,Informatique,Oui,Rarement,2,2,3.0,3.0,2.0,4.0,3.0,3.0,4.0,,,7 %,150.0,,,,demo1,2025-12-05 18:46:35.904890+00:00
99001,35,M,6000.0,Marié,R&D,Développeur,2,10,5.0,3.0,1,2,0,15,3,Informatique,Oui,Rarement,2,2,3.0,3.0,2.0,4.0,3.0,3.0,4.0,,,7 %,150.0,,,,demo1,2025-12-05 18:46:37.612449+00:00
21348,33,F,2909.0,Marié(e),Consulting,Assistant de Direction,1,8,8.0,7.0,0,3,1,3,4,Infra & Cloud,Y,Frequent,3,0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,,,11%,80.0,,,,1,2025-12-10 20:24:06.167960+00:00
21347,37,M,2090.0,Célibataire,Consulting,Consultant,6,7,0.0,0.0,0,3,1,2,2,Autre,Y,Occasionnel,0,0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,,,15%,80.0,,,,1,2025-12-10 20:24:06.131246+00:00
21346,49,M,5130.0,Marié(e),Consulting,Assistant de Direction,1,10,10.0,7.0,1,3,1,8,1,Infra & Cloud,Y,Frequent,1,7,3.0,2.0,2.0,2.0,4.0,3.0,4.0,,,23%,80.0,,,,1,2025-12-10 20:24:06.097352+00:00
21345,41,F,5993.0,Célibataire,Commercial,Cadre Commercial,8,8,6.0,4.0,0,0,1,1,2,Infra & Cloud,Y,Occasionnel,0,5,2.0,3.0,2.0,4.0,1.0,1.0,3.0,,,11%,80.0,,,,1,2025-12-10 20:24:06.036643+00:00
2068,34,M,4404.0,Marié(e),Consulting,Consultant,2,6,4.0,3.0,0,3,1,8,3,Transformation Digitale,Y,Occasionnel,1,2,2.0,4.0,2.0,3.0,1.0,4.0,3.0,0,,12 %,80.0,,,,1,2025-12-05 18:29:37.824575+00:00
2065,49,M,5390.0,Marié(e),Commercial,Cadre Commercial,2,17,9.0,6.0,0,3,1,2,3,Transformation Digitale,Y,Frequent,0,8,4.0,2.0,2.0,2.0,4.0,2.0,3.0,0,,14 %,80.0,,,,1,2025-12-05 18:29:37.807485+00:00
2064,27,M,6142.0,Marié(e),Consulting,Tech Lead,1,6,6.0,2.0,1,0,1,4,3,Infra & Cloud,Y,Occasionnel,0,3,2.0,4.0,2.0,2.0,2.0,3.0,4.0,1,,20 %,80.0,,,,1,2025-12-05 18:29:37.791599+00:00
2062,39,M,9991.0,Marié(e),Consulting,Manager,4,9,7.0,7.0,1,5,1,6,1,Transformation Digitale,Y,Occasionnel,1,7,4.0,2.0,3.0,1.0,1.0,3.0,3.0,0,,15 %,80.0,,,,1,2025-12-05 18:29:37.775142+00:00
2061,36,M,2571.0,Marié(e),Consulting,Consultant,4,17,5.0,2.0,1,3,1,23,2,Transformation Digitale,Y,Frequent,0,3,3.0,4.0,2.0,4.0,3.0,3.0,3.0,0,,17 %,80.0,,,,1,2025-12-05 18:29:37.759996+00:00
2060,26,F,2966.0,Célibataire,Commercial,Représentant Commercial,0,5,4.0,2.0,0,2,1,5,3,Autre,Y,Occasionnel,0,0,4.0,2.0,1.0,3.0,4.0,3.0,3.0,0,,18 %,80.0,,,,1,2025-12-05 18:29:37.740716+00:00
2057,31,M,9936.0,Célibataire,Consulting,Tech Lead,0,10,9.0,4.0,0,2,1,5,3,Transformation Digitale,Y,Aucun,1,7,2.0,3.0,2.0,1.0,2.0,3.0,3.0,0,,19 %,80.0,,,,1,2025-12-05 18:29:37.722632+00:00
2056,39,F,12031.0,Marié(e),Commercial,Cadre Commercial,0,21,20.0,9.0,1,2,1,24,1,Marketing,Y,Occasionnel,9,6,2.0,2.0,4.0,4.0,1.0,2.0,3.0,0,,11 %,80.0,,,,1,2025-12-05 18:29:37.707127+00:00
2055,50,M,10854.0,Divorcé(e),Commercial,Cadre Commercial,4,20,3.0,2.0,1,3,1,28,3,Marketing,Y,Occasionnel,2,0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,1,,13 %,80.0,,,,1,2025-12-05 18:29:37.690151+00:00
2054,29,F,3785.0,Célibataire,Consulting,Assistant de Direction,1,5,5.0,4.0,0,3,1,28,4,Transformation Digitale,Y,Occasionnel,0,4,4.0,2.0,1.0,1.0,2.0,1.0,3.0,0,,14 %,80.0,,,,1,2025-12-05 18:29:37.675008+00:00
2053,29,M,4025.0,Marié(e),Consulting,Consultant,4,10,4.0,3.0,1,2,1,13,2,Autre,Y,Occasionnel,0,3,4.0,2.0,2.0,2.0,1.0,3.0,3.0,1,,13 %,80.0,,,,1,2025-12-05 18:29:37.661286+00:00
2052,35,F,2977.0,Marié(e),Consulting,Assistant de Direction,1,4,4.0,3.0,1,5,1,1,4,Infra & Cloud,Y,Occasionnel,1,1,3.0,1.0,1.0,4.0,4.0,3.0,3.0,0,,12 %,80.0,,,,1,2025-12-05 18:29:37.643351+00:00
2051,40,F,2001.0,Marié(e),Consulting,Assistant de Direction,2,20,5.0,3.0,3,2,1,2,4,Transformation Digitale,Y,Occasionnel,0,2,3.0,3.0,1.0,3.0,2.0,3.0,3.0,0,,14 %,80.0,,,,1,2025-12-05 18:29:37.628438+00:00
2049,35,M,5689.0,Marié(e),Consulting,Manager,1,10,10.0,2.0,2,2,1,18,4,Infra & Cloud,Y,Frequent,0,2,3.0,3.0,2.0,3.0,4.0,4.0,3.0,1,,14 %,80.0,,,,1,2025-12-05 18:29:37.612690+00:00
2048,40,M,2809.0,Célibataire,Consulting,Assistant de Direction,2,8,2.0,2.0,0,2,1,2,4,Infra & Cloud,Y,Occasionnel,2,2,3.0,2.0,1.0,3.0,4.0,3.0,3.0,0,,14 %,80.0,,,,1,2025-12-05 18:29:37.600757+00:00
2046,45,F,4850.0,Célibataire,Commercial,Cadre Commercial,8,8,5.0,3.0,0,3,1,20,3,Infra & Cloud,Y,Occasionnel,0,1,4.0,3.0,2.0,3.0,3.0,3.0,3.0,0,,15 %,80.0,,,,1,2025-12-05 18:29:37.586441+00:00
2045,36,F,6652.0,Marié(e),Commercial,Cadre Commercial,4,8,6.0,3.0,1,2,1,11,4,Marketing,Y,Occasionnel,0,0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,0,,13 %,80.0,,,,1,2025-12-05 18:29:37.573200+00:00
2044,50,M,6728.0,Divorcé(e),Commercial,Cadre Commercial,7,12,6.0,3.0,2,3,1,1,4,Infra & Cloud,Y,Frequent,0,1,2.0,3.0,2.0,3.0,4.0,3.0,3.0,0,,12 %,80.0,,,,1,2025-12-05 18:29:37.560199+00:00
2041,38,F,5343.0,Marié(e),Commercial,Cadre Commercial,1,10,10.0,7.0,1,1,1,10,2,Infra & Cloud,Y,Occasionnel,1,9,1.0,3.0,2.0,4.0,3.0,3.0,3.0,0,,11 %,80.0,,,,1,2025-12-05 18:29:37.545659+00:00
2040,35,F,8837.0,Célibataire,Ressources Humaines,Ressources Humaines,1,9,9.0,0.0,0,2,1,26,4,Infra & Cloud,Y,Occasionnel,1,7,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1,,16 %,80.0,,,,1,2025-12-05 18:29:37.531031+00:00
2038,32,M,2439.0,Célibataire,Consulting,Assistant de Direction,1,4,4.0,2.0,0,4,1,2,3,Entrepreunariat,Y,Occasionnel,1,2,4.0,3.0,1.0,1.0,4.0,3.0,3.0,0,,14 %,80.0,,,,1,2025-12-05 18:29:37.516678+00:00
